Date,GDP,Unemployment Rate,Inflation (PCE),Interest Rates,Industrial Production,Consumer Sentiment,S&P500,VIX
2009-07-01,0.003511923951750484,0.03157894736842115,0.0076529576549875244,-0.2857142857142857,0.03200390115806773,0.038135593220339103,0.1498498320856021,-0.02808348236831748
2009-10-01,0.010809136508185713,0.010204081632652962,0.012570760893652277,-0.19999999999999996,0.009650665363893474,-0.013605442176870763,0.05488706809634025,-0.1534556896334971
2010-01-01,0.004845009505686004,0.0,0.010285896186061239,0.3333333333333335,0.021474999660044514,0.015172413793103301,0.04872215883284525,-0.1886531409140001
2010-04-01,0.009675861183124024,-0.0505050505050505,0.007414336352894679,0.125,0.019500365534784514,0.03260869565217406,-0.11862196660094271,0.9636157257477751
2010-07-01,0.007710849360473171,0.010638297872340496,0.00936342400281509,0.05555555555555558,0.010410262492695832,-0.10263157894736841,0.10719794551502826,-0.31383902331382985
2010-10-01,0.005251102608268665,-0.021052631578947323,0.013934211927840279,-0.052631578947368474,0.007847601242348512,0.09237536656891487,0.1020330077625684,-0.2510548764303706
2011-01-01,-0.0023720489710901127,-0.032258064516129115,0.01420112692197506,-0.2222222222222221,0.004241059741347808,-0.09395973154362414,0.05422055644858914,-0.0005633931764414957
2011-04-01,0.0067658229314366825,0.011111111111111072,0.007071762855824337,-0.3571428571428572,0.0006884296993041605,0.059259259259259345,-0.003914484947748376,-0.06877110085089899
2011-07-01,-0.00022312735917140447,-0.01098901098901095,0.008265699218311884,-0.11111111111111105,0.01043524121526862,-0.1678321678321678,-0.14327899246146691,1.600484134023335
2011-10-01,0.011230490567579965,-0.05555555555555558,0.0032086950070477904,-0.12499999999999989,0.012266897896517026,0.1747899159663866,0.11152350739750894,-0.4553072598414485
2012-01-01,0.00838590819971663,-0.03529411764705892,0.01627872580376799,0.857142857142857,0.004138520362019227,0.09012875536480691,0.11996660149972938,-0.33760682680842125
2012-04-01,0.004463347461653111,0.0,-0.0003729340816270854,0.23076923076923084,0.00935896281158155,-0.03937007874015752,-0.03287960516497135,0.10193547894877764
2012-07-01,0.0014402799732293747,-0.04878048780487798,0.010509745400280268,-0.12499999999999989,-0.0026421623883672307,0.069672131147541,0.05763640673315229,-0.07903983533372294
